name,frame,ra,dec,band_idx,wavelength_old,receiver_old,cfg_A_old,cfg_B_old,cfg_C_old,cfg_D_old,uvmin_kl_old,uvmax_kl_old,wavelength_new,receiver_new,cfg_A_new,cfg_B_new,cfg_C_new,cfg_D_new,uvmin_kl_new,uvmax_kl_new
1540+147,J2000,15h40m49.491511s,"14d47'45.884850""",1,6cm,C,X,X,X,S,15.0,,6cm,C,X,X,X,S,,15.0
1540+147,J2000,15h40m49.491511s,"14d47'45.884850""",2,3.7cm,X,S,S,X,X,100.0,,3.7cm,X,S,S,X,X,100.0,
1543-079,J2000,15h43m01.687567s,"-07d57'06.629160""",0,20cm,L,P,S,S,X,6.0,,20cm,L,P,S,S,X,6.0,
1543-079,J2000,15h43m01.687567s,"-07d57'06.629160""",4,0.7cm,Q,X,W,W,W,900.0,,0.7cm,Q,X,W,W,W,,900.0
1545+478,J2000,15h45m08.529822s,"47d51'54.664420""",0,20cm,L,S,S,S,S,5.0,,20cm,L,S,S,S,S,5.0,
1545+515,J2000,15h45m02.823679s,"51d35'00.873280""",0,20cm,L,S,S,X,X,10.0,,20cm,L,S,S,X,X,10.0,
1546+004,J2000,15h46m09.531474s,"00d26'24.614080""",0,20cm,L,P,S,X,X,20.0,,20cm,L,P,S,X,X,20.0,
1549+026,J2000,15h49m29.436847s,"02d37'01.163470""",0,20cm,L,S,X,X,X,50.0,,20cm,L,S,X,X,X,50.0,
1549+214,J2000,15h49m49.0236s,"21d25'38.856""",0,90cm,P,X,S,S,S,4.0,,90cm,P,X,S,S,S,,4.0
1549+214,J2000,15h49m49.0236s,"21d25'38.856""",1,20cm,L,X,X,X,S,3.0,,20cm,L,X,X,X,S,,3.0
1550+054,J2000,15h50m35.269240s,"05d27'10.448230""",0,20cm,L,X,X,S,S,20.0,,20cm,L,X,X,S,S,,20.0
1550+054,J2000,15h50m35.269240s,"05d27'10.448230""",1,6cm,C,S,X,X,X,200.0,,6cm,C,S,X,X,X,200.0,
1551+581,J2000,15h51m58.207835s,"58d06'44.453850""",0,20cm,L,W,X,X,X,25.0,,20cm,L,W,X,X,X,25.0,
1553+129,J2000,15h53m32.697866s,"12d56'51.716570""",0,20cm,L,X,S,S,S,30.0,,20cm,L,X,S,S,S,,30.0
1554-270,J2000,15h54m02.469795s,"-27d04'40.233150""",0,20cm,L,S,S,S,S,200.0,,20cm,L,S,S,S,S,,200.0
1554-270,J2000,15h54m02.469795s,"-27d04'40.233150""",1,6cm,C,X,S,S,S,200.0,,6cm,C,X,S,S,S,,200.0
1554-270,J2000,15h54m02.469795s,"-27d04'40.233150""",2,3.7cm,X,X,S,S,S,200.0,,3.7cm,X,X,S,S,S,,200.0
1554-270,J2000,15h54m02.469795s,"-27d04'40.233150""",3,0.7cm,Q,X,W,W,W,200.0,,0.7cm,Q,X,W,W,W,,200.0
1556+200,J2000,15h56m10.0181s,"20d04'20.452""",0,90cm,P,X,S,S,X,1.0,7.0,90cm,P,X,S,S,X,1.0,7.0
1556+200,J2000,15h56m10.0181s,"20d04'20.452""",1,20cm,L,X,X,S,S,7.0,,20cm,L,X,X,S,S,,7.0
