name,frame,ra,dec,band_idx,wavelength_old,receiver_old,cfg_A_old,cfg_B_old,cfg_C_old,cfg_D_old,uvmin_kl_old,uvmax_kl_old,wavelength_new,receiver_new,cfg_A_new,cfg_B_new,cfg_C_new,cfg_D_new,uvmin_kl_new,uvmax_kl_new
2156+485,J2000,21h56m37.9064s,"48d30'27.590""",2,6cm,C,X,X,X,S,8.0,,6cm,C,X,X,X,S,,8.0
2158-150,J2000,21h58m06.281901s,"-15d01'09.328090""",0,20cm,L,X,X,X,S,3.0,,20cm,L,X,X,X,S,,3.0
2158-302,J2000,21h58m52.065093s,"-30d13'32.118420""",0,20cm,L,S,S,X,X,10.0,,20cm,L,S,S,X,X,10.0,
2203+317,J2000,22h03m14.975790s,"31d45'38.269940""",0,20cm,L,P,P,S,X,10.0,,20cm,L,P,P,S,X,10.0,
2203+317,J2000,22h03m14.975790s,"31d45'38.269940""",1,6cm,C,P,P,P,S,10.0,,6cm,C,P,P,P,S,10.0,
2203+626,J2000,22h03m20.9623s,"62d40'34.271""",0,90cm,P,X,S,S,X,1.0,10.0,90cm,P,X,S,S,X,1.0,10.0
2203+626,J2000,22h03m20.9623s,"62d40'34.271""",1,20cm,L,X,X,P,P,10.0,,20cm,L,X,X,P,P,,10.0
2203+626,J2000,22h03m20.9623s,"62d40'34.271""",2,6cm,C,X,X,X,P,10.0,,6cm,C,X,X,X,P,,10.0
2206-185,J2000,22h06m10.417082s,"-18d35'38.746520""",0,90cm,P,S,S,S,X,1.0,,90cm,P,S,S,S,X,1.0,
2206-185,J2000,22h06m10.417082s,"-18d35'38.746520""",1,20cm,L,X,X,S,P,20.0,,20cm,L,X,X,S,P,,20.0
2206-185,J2000,22h06m10.417082s,"-18d35'38.746520""",2,6cm,C,P,S,S,X,50.0,300.0,6cm,C,P,S,S,X,50.0,300.0
2206-185,J2000,22h06m10.417082s,"-18d35'38.746520""",3,3.7cm,X,X,S,S,X,100.0,300.0,3.7cm,X,X,S,S,X,100.0,300.0
2206-185,J2000,22h06m10.417082s,"-18d35'38.746520""",4,2cm,U,X,S,S,S,300.0,,2cm,U,X,S,S,S,,300.0
2212+018,J2000,22h12m37.9770s,"01d52'51.151""",1,6cm,C,S,P,P,P,300.0,,6cm,C,S,P,P,P,,300.0
2212+018,J2000,22h12m37.9770s,"01d52'51.151""",2,3.7cm,X,S,P,P,P,300.0,,3.7cm,X,S,P,P,P,,300.0
2212+239,J2000,22h12m05.966318s,"23d55'40.543880""",0,20cm,L,S,S,S,X,6.0,,20cm,L,S,S,S,X,6.0,
2213-254,J2000,22h13m02.497951s,"-25d29'30.079710""",1,6cm,C,S,S,S,S,300.0,,6cm,C,S,S,S,S,,300.0
2213-254,J2000,22h13m02.497951s,"-25d29'30.079710""",2,3.7cm,X,S,P,P,P,300.0,,3.7cm,X,S,P,P,P,,300.0
2213-254,J2000,22h13m02.497951s,"-25d29'30.079710""",3,2cm,U,X,P,P,P,300.0,,2cm,U,X,P,P,P,,300.0
2216+353,J2000,22h16m20.009910s,"35d18'14.180560""",0,20cm,L,S,X,X,X,30.0,,20cm,L,S,X,X,X,30.0,
2217+023,J2000,22h17m48.237969s,"02d20'10.712670""",0,20cm,L,X,S,S,X,6.0,40.0,20cm,L,X,S,S,X,6.0,40.0
2217+023,J2000,22h17m48.237969s,"02d20'10.712670""",1,6cm,C,X,X,S,S,40.0,,6cm,C,X,X,S,S,,40.0
2219-279,J2000,22h19m40.9420s,"-27d56'26.860""",0,90cm,P,S,S,S,X,1.0,,90cm,P,S,S,S,X,1.0,
2219-279,J2000,22h19m40.9420s,"-27d56'26.860""",1,20cm,L,X,S,S,S,20.0,,20cm,L,X,S,S,S,,20.0
2219-279,J2000,22h19m40.9420s,"-27d56'26.860""",2,6cm,C,X,X,S,S,30.0,,6cm,C,X,X,S,S,,30.0
2219-279,J2000,22h19m40.9420s,"-27d56'26.860""",3,3.7cm,X,X,X,S,S,30.0,,3.7cm,X,X,X,S,S,,30.0
2225-049,J2000,22h25m47.259291s,"-04d57'01.390730""",0,90cm,P,S,S,S,S,16.0,,90cm,P,S,S,S,S,,16.0
2225-049,J2000,22h25m47.259291s,"-04d57'01.390730""",1,20cm,L,X,S,S,S,45.0,,20cm,L,X,S,S,S,,45.0
2225-049,J2000,22h25m47.259291s,"-04d57'01.390730""",2,6cm,C,X,X,S,S,45.0,,6cm,C,X,X,S,S,,45.0
2225-049,J2000,22h25m47.259291s,"-04d57'01.390730""",3,3.7cm,X,X,X,S,P,60.0,,3.7cm,X,X,X,S,P,,60.0
2225-049,J2000,22h25m47.259291s,"-04d57'01.390730""",4,2cm,U,X,X,S,P,60.0,,2cm,U,X,X,S,P,,60.0
2229-085,J2000,22h29m40.084346s,"-08d32'54.435410""",0,20cm,L,X,X,S,S,25.0,,20cm,L,X,X,S,S,,25.0
2230-397,J2000,22h30m40.278593s,"-39d42'52.067240""",0,20cm,L,S,S,X,X,15.0,,20cm,L,S,S,X,X,15.0,
2230-397,J2000,22h30m40.278593s,"-39d42'52.067240""",1,6cm,C,S,S,X,X,50.0,,6cm,C,S,S,X,X,50.0,
2231+541,J2000,22h31m19.0220s,"54d09'35.940""",0,90cm,P,X,S,X,X,1.0,7.0,90cm,P,X,S,X,X,1.0,7.0
2231+541,J2000,22h31m19.0220s,"54d09'35.940""",1,20cm,L,X,X,S,S,7.0,,20cm,L,X,X,S,S,,7.0
2232+117,J2000,22h32m36.408914s,"11d43'50.904100""",0,90cm,P,S,S,S,X,1.0,20.0,90cm,P,S,S,S,X,1.0,20.0
2232+117,J2000,22h32m36.408914s,"11d43'50.904100""",1,20cm,L,X,S,S,S,20.0,,20cm,L,X,S,S,S,,20.0
2236+733,J2000,22h36m38.597010s,"73d22'52.662140""",0,20cm,L,S,S,X,X,10.0,,20cm,L,S,S,X,X,10.0,
2236-145,J2000,22h36m34.087168s,"-14d33'22.189590""",0,20cm,L,S,S,S,X,6.0,,20cm,L,S,S,S,X,6.0,
2241+413,J2000,22h41m07.205247s,"41d20'11.618220""",0,20cm,L,X,X,X,X,10.0,,20cm,L,X,X,X,X,10.0,
2243-257,J2000,22h43m26.408781s,"-25d44'30.687300""",1,6cm,C,S,X,X,X,150.0,,6cm,C,S,X,X,X,150.0,
2248+373,J2000,22h48m37.910510s,"37d18'12.462860""",0,20cm,L,S,S,X,X,8.0,,20cm,L,S,S,X,X,8.0,
2248-325,J2000,22h48m38.685732s,"-32d35'52.187830""",0,20cm,L,P,P,S,X,6.0,,20cm,L,P,P,S,X,6.0,
2250+143,J2000,22h50m25.5400s,"14d19'50.600""",0,20cm,L,S,S,S,S,70.0,,20cm,L,S,S,S,S,,70.0
2250+143,J2000,22h50m25.5400s,"14d19'50.600""",1,6cm,C,X,S,P,P,70.0,,6cm,C,X,S,P,P,,70.0
2250+143,J2000,22h50m25.5400s,"14d19'50.600""",2,3.7cm,X,X,X,S,P,70.0,,3.7cm,X,X,X,S,P,,70.0
2250+143,J2000,22h50m25.5400s,"14d19'50.600""",3,2cm,U,X,X,S,S,70.0,,2cm,U,X,X,S,S,,70.0
2250+714,J2000,22h50m32.5870s,"71d29'19.060""",0,90cm,P,S,S,S,X,1.0,15.0,90cm,P,S,S,S,X,1.0,15.0
2250+714,J2000,22h50m32.5870s,"71d29'19.060""",1,20cm,L,X,X,S,S,15.0,,20cm,L,X,X,S,S,,15.0
2251+188,J2000,22h51m34.7386s,"18d48'40.145""",0,90cm,P,S,S,S,X,1.0,,90cm,P,S,S,S,X,1.0,
2251+188,J2000,22h51m34.7386s,"18d48'40.145""",1,20cm,L,X,S,S,S,40.0,,20cm,L,X,S,S,S,,40.0
2251+188,J2000,22h51m34.7386s,"18d48'40.145""",2,6cm,C,X,X,S,P,40.0,,6cm,C,X,X,S,P,,40.0
2251+188,J2000,22h51m34.7386s,"18d48'40.145""",3,3.7cm,X,X,X,S,S,40.0,,3.7cm,X,X,X,S,S,,40.0
2253+161,J2000,22h53m57.747932s,"16d08'53.560890""",0,90cm,P,X,S,S,X,1.0,7.0,90cm,P,X,S,S,X,1.0,7.0
2253+161,J2000,22h53m57.747932s,"16d08'53.560890""",1,20cm,L,X,X,S,S,7.0,,20cm,L,X,X,S,S,,7.0
2254+247,J2000,22h54m09.341903s,"24d45'23.422800""",1,6cm,C,S,P,P,P,200.0,,6cm,C,S,P,P,P,,200.0
2254+247,J2000,22h54m09.341903s,"24d45'23.422800""",2,3.7cm,X,X,S,P,P,200.0,,3.7cm,X,X,S,P,P,,200.0
2254+247,J2000,22h54m09.341903s,"24d45'23.422800""",3,2cm,U,X,S,S,S,200.0,,2cm,U,X,S,S,S,,200.0
2255+132,J2000,22h55m03.7290s,"13d13'33.010""",0,90cm,P,X,S,S,X,1.0,5.0,90cm,P,X,S,S,X,1.0,5.0
2255+132,J2000,22h55m03.7290s,"13d13'33.010""",1,20cm,L,X,X,P,P,12.0,,20cm,L,X,X,P,P,,12.0
2255+132,J2000,22h55m03.7290s,"13d13'33.010""",2,6cm,C,X,X,X,S,12.0,,6cm,C,X,X,X,S,,12.0
2255+420,J2000,22h55m36.707856s,"42d02'52.532810""",0,20cm,L,S,S,X,X,15.0,,20cm,L,S,S,X,X,15.0,
2255-087,J2000,22h55m04.239787s,"-08d44'04.021710""",0,20cm,L,S,S,S,X,6.0,,20cm,L,S,S,S,X,6.0,
2257+077,J2000,22h57m17.303120s,"07d43'12.302840""",0,20cm,L,S,X,X,X,30.0,,20cm,L,S,X,X,X,30.0,
2258-279,J2000,22h58m05.962888s,"-27d58'21.256750""",0,20cm,L,X,X,S,S,5.0,,20cm,L,X,X,S,S,,5.0
2300+169,J2000,23h00m42.9941s,"16d55'14.401""",0,20cm,L,S,S,X,X,20.0,,20cm,L,S,S,X,X,20.0,
2301+374,J2000,23h01m27.737401s,"37d26'49.243090""",0,20cm,L,S,S,X,X,20.0,,20cm,L,S,S,X,X,20.0,
2302-373,J2000,23h02m23.890588s,"-37d18'06.842000""",0,20cm,L,X,S,P,P,50.0,,20cm,L,X,S,P,P,,50.0
2302-373,J2000,23h02m23.890588s,"-37d18'06.842000""",1,6cm,C,X,X,S,S,50.0,,6cm,C,X,X,S,S,,50.0
2303-305,J2000,23h03m05.821190s,"-30d30'11.473180""",0,20cm,L,S,S,X,X,8.0,,20cm,L,S,S,X,X,8.0,
2307-415,J2000,23h07m54.3358s,"-41d32'42.812""",0,20cm,L,X,X,X,S,5.0,,20cm,L,X,X,X,S,,5.0
2311+457,J2000,23h11m47.408957s,"45d43'56.016320""",0,20cm,L,S,X,X,X,30.0,,20cm,L,S,X,X,X,30.0,
2312+093,J2000,23h12m28.1210s,"09d19'29.483""",0,90cm,P,X,S,S,X,1.0,5.0,90cm,P,X,S,S,X,1.0,5.0
2312+093,J2000,23h12m28.1210s,"09d19'29.483""",1,20cm,L,X,X,S,S,5.0,,20cm,L,X,X,S,S,,5.0
2312+387,J2000,23h12m58.794057s,"38d47'42.660690""",0,20cm,L,S,S,X,X,10.0,,20cm,L,S,S,X,X,10.0,
2314-316,J2000,23h14m48.500631s,"-31d38'39.526510""",0,20cm,L,P,P,S,X,6.0,,20cm,L,P,P,S,X,6.0,
2314-449,J2000,23h14m09.382807s,"-44d55'49.237720""",0,20cm,L,P,P,P,S,3.0,,20cm,L,P,P,P,S,3.0,
2316+040,J2000,23h16m35.2098s,"04d05'18.148""",0,90cm,P,X,X,S,S,3.0,,90cm,P,X,X,S,S,,3.0
2316+040,J2000,23h16m35.2098s,"04d05'18.148""",1,20cm,L,X,X,X,P,3.0,,20cm,L,X,X,X,P,,3.0
2320+052,J2000,23h20m44.856598s,"05d13'49.952660""",0,20cm,L,S,X,X,X,30.0,,20cm,L,S,X,X,X,30.0,
2320+052,J2000,23h20m44.856598s,"05d13'49.952660""",1,6cm,C,S,S,X,X,30.0,,6cm,C,S,S,X,X,30.0,
2321+275,J2000,23h21m59.862235s,"27d32'46.443430""",0,20cm,L,S,X,X,X,60.0,,20cm,L,S,X,X,X,60.0,
2321+275,J2000,23h21m59.862235s,"27d32'46.443430""",1,6cm,C,X,X,X,X,40.0,,6cm,C,X,X,X,X,40.0,
2321+275,J2000,23h21m59.862235s,"27d32'46.443430""",2,3.7cm,X,S,S,S,X,40.0,,3.7cm,X,S,S,S,X,40.0,
2321-163,J2000,23h21m01.9589s,"-16d23'05.187""",0,90cm,P,S,S,S,X,2.0,16.0,90cm,P,S,S,S,X,2.0,16.0
2321-163,J2000,23h21m01.9589s,"-16d23'05.187""",1,20cm,L,X,X,P,P,16.0,,20cm,L,X,X,P,P,,16.0
2322+447,J2000,23h22m20.358078s,"44d45'42.353470""",0,20cm,L,X,X,X,X,10.0,,20cm,L,X,X,X,X,10.0,
2322+509,J2000,23h22m25.982159s,"50d57'51.963710""",1,6cm,C,S,S,S,S,20.0,,6cm,C,S,S,S,S,20.0,
2322+509,J2000,23h22m25.982159s,"50d57'51.963710""",2,3.7cm,X,P,S,S,S,20.0,,3.7cm,X,P,S,S,S,20.0,
2323-032,J2000,23h23m31.953757s,"-03d17'05.023800""",0,20cm,L,S,S,X,X,12.0,,20cm,L,S,S,X,X,12.0,
2325+437,J2000,23h25m42.3260s,"43d46'58.810""",0,20cm,L,X,X,S,S,20.0,,20cm,L,X,X,S,S,,20.0
2325+437,J2000,23h25m42.3260s,"43d46'58.810""",1,6cm,C,X,X,X,S,20.0,,6cm,C,X,X,X,S,,20.0
2325+437,J2000,23h25m42.3260s,"43d46'58.810""",2,3.7cm,X,X,X,X,S,20.0,,3.7cm,X,X,X,X,S,,20.0
2325-121,J2000,23h25m19.7730s,"-12d07'27.091""",0,90cm,P,X,S,S,X,1.0,4.0,90cm,P,X,S,S,X,1.0,4.0
2325-121,J2000,23h25m19.7730s,"-12d07'27.091""",1,20cm,L,X,X,S,S,4.0,,20cm,L,X,X,S,S,,4.0
2326-404,J2000,23h26m34.1409s,"-40d27'15.159""",0,20cm,L,X,,S,S,20.0,,20cm,L,X,,S,S,,20.0
2327-147,J2000,23h27m47.964268s,"-14d47'55.750680""",0,20cm,L,S,X,X,X,45.0,,20cm,L,S,X,X,X,45.0,
2327-147,J2000,23h27m47.964268s,"-14d47'55.750680""",1,6cm,C,X,S,S,S,300.0,,6cm,C,X,S,S,S,,300.0
2327-147,J2000,23h27m47.964268s,"-14d47'55.750680""",2,3.7cm,X,X,S,P,P,300.0,,3.7cm,X,X,S,P,P,,300.0
2327-147,J2000,23h27m47.964268s,"-14d47'55.750680""",3,2cm,U,X,S,S,S,300.0,,2cm,U,X,S,S,S,,300.0
2330+110,J2000,23h30m40.852257s,"11d00'18.709840""",0,20cm,L,P,P,S,S,5.0,,20cm,L,P,P,S,S,5.0,
2331-381,J2000,23h31m59.476115s,"-38d11'47.650530""",0,20cm,L,S,S,X,X,8.0,,20cm,L,S,S,X,X,8.0,
2333+390,J2000,23h33m02.533406s,"39d01'12.048840""",0,20cm,L,P,P,S,X,4.0,,20cm,L,P,P,S,X,4.0,
2333-237,J2000,23h33m55.237807s,"-23d43'40.657990""",0,20cm,L,P,P,S,X,6.0,,20cm,L,P,P,S,X,6.0,
2337-025,J2000,23h37m57.339089s,"-02d30'57.629370""",0,20cm,L,S,S,X,X,15.0,,20cm,L,S,S,X,X,15.0,
2339-331,J2000,23h39m54.5330s,"-33d10'16.900""",1,6cm,C,X,X,S,S,100.0,,6cm,C,X,X,S,S,100.0,
2340+135,J2000,23h40m33.2250s,"13d33'00.910""",0,90cm,P,S,S,S,X,1.0,,90cm,P,S,S,S,X,1.0,
2340+135,J2000,23h40m33.2250s,"13d33'00.910""",1,20cm,L,X,S,S,S,20.0,,20cm,L,X,S,S,S,,20.0
2340+266,J2000,23h40m29.029462s,"26d41'56.804850""",0,20cm,L,S,S,X,X,22.0,,20cm,L,S,S,X,X,22.0,
2341-351,J2000,23h41m45.8910s,"-35d06'22.130""",0,90cm,P,S,S,S,X,1.0,30.0,90cm,P,S,S,S,X,1.0,30.0
2341-351,J2000,23h41m45.8910s,"-35d06'22.130""",1,20cm,L,X,S,P,P,30.0,,20cm,L,X,S,P,P,,30.0
2343+538,J2000,23h43m48.3973s,"53d48'40.791""",0,20cm,L,X,S,S,S,20.0,,20cm,L,X,S,S,S,,20.0
2343+538,J2000,23h43m48.3973s,"53d48'40.791""",1,6cm,C,X,X,S,S,20.0,,6cm,C,X,X,S,S,,20.0
2344+824,J2000,23h44m03.7718s,"82d26'40.401""",2,3.7cm,X,S,S,P,P,200.0,,3.7cm,X,S,S,P,P,,200.0
2345+659,J2000,23h45m34.0218s,"65d57'18.413""",0,20cm,L,X,X,S,X,6.0,15.0,20cm,L,X,X,S,X,6.0,15.0
2345+659,J2000,23h45m34.0218s,"65d57'18.413""",1,6cm,C,X,X,X,S,15.0,,6cm,C,X,X,X,S,,15.0
2346+095,J2000,23h46m36.838558s,"09d30'45.514970""",0,20cm,L,S,X,X,X,45.0,,20cm,L,S,X,X,X,45.0,
2346+095,J2000,23h46m36.838558s,"09d30'45.514970""",1,6cm,C,X,S,S,S,150.0,,6cm,C,X,S,S,S,,150.0
2346+095,J2000,23h46m36.838558s,"09d30'45.514970""",2,3.7cm,X,X,S,P,P,200.0,,3.7cm,X,X,S,P,P,,200.0
2346+095,J2000,23h46m36.838558s,"09d30'45.514970""",3,2cm,U,X,S,S,S,250.0,,2cm,U,X,S,S,S,,250.0
2348-165,J2000,23h48m02.608516s,"-16d31'12.022020""",0,20cm,L,X,X,S,S,15.0,,20cm,L,X,X,S,S,,15.0
2349+387,J2000,23h49m20.826537s,"38d49'17.558430""",0,20cm,L,S,S,X,X,20.0,,20cm,L,S,S,X,X,20.0,
2350+646,J2000,23h50m54.9176s,"64d40'17.830""",0,90cm,P,S,S,S,S,20.0,,90cm,P,S,S,S,S,,20.0
2350+646,J2000,23h50m54.9176s,"64d40'17.830""",1,20cm,L,X,S,P,P,15.0,,20cm,L,X,S,P,P,,15.0
2350+646,J2000,23h50m54.9176s,"64d40'17.830""",2,6cm,C,X,X,X,S,15.0,,6cm,C,X,X,X,S,,15.0
2354+458,J2000,23h54m21.680266s,"45d53'04.236530""",0,20cm,L,X,S,S,S,40.0,,20cm,L,X,S,S,S,,40.0
2354+458,J2000,23h54m21.680266s,"45d53'04.236530""",1,6cm,C,X,X,S,P,40.0,,6cm,C,X,X,S,P,,40.0
2354-152,J2000,23h54m30.195190s,"-15d13'11.213010""",0,20cm,L,X,S,S,S,30.0,,20cm,L,X,S,S,S,,30.0
2357-114,J2000,23h57m31.197570s,"-11d25'39.176340""",0,20cm,L,P,P,S,X,6.0,,20cm,L,P,P,S,X,6.0,
2358-103,J2000,23h58m10.882409s,"-10d20'08.611260""",0,20cm,L,S,S,S,X,6.0,,20cm,L,S,S,S,X,6.0,
2359+388,J2000,23h59m33.180792s,"38d50'42.318440""",0,20cm,L,S,S,X,X,15.0,,20cm,L,S,S,X,X,15.0,
