name,ra,dec,band_guess,band_code,size_gb,date_utc,gain_calibrator_name,gain_onsource_min,gain_array_config,access_url,ra_deg,dec_deg,ra_rad,dec_rad,folder,wget_command,status,new_size,wget_error,downloaded_folder,extracted_ms,spw_selected,extracted_gain_onsource_min,caltables_found,corrected_used,size,spw_center_ghz,spw_bandwidth_mhz,spw_unflagged_frac,spw_n_rows,spw_matches_band
1246-075,12:46:04.232113,-7:30:46.574500,L,C L S X,11.849635,2020-07-03 00:00:00+00:00,J1246-0730,10.969166691647844,B,https://data.nrao.edu/portal/#/productViewer/SC1068.sb38427539.eb38434922.59032.994057986114,191.51763380416668,-7.512937361111111,-2.940572021668085,-0.131125493447483,,,,,,,,,,,,,,,,,
0539-286,5:39:54.281429,-28:39:55.947450,C,C,5.225502,2017-11-12 00:00:00+00:00,J0539-2839,10.969166649738328,B,https://data.nrao.edu/portal/#/productViewer/17B-078.sb34432825.eb34684994.58069.38455575232,84.97617262083332,-28.66554095833333,1.4831139979766006,-0.5003080715882073,,,,,,,,,,,,,,,,,
1130-148,11:30:07.052580,-14:49:27.388160,L,C L S X,10.426423,2018-11-21 00:00:00+00:00,J1130-1449,10.787499994039536,C,https://data.nrao.edu/portal/#/productViewer/18B-373.sb35864264.eb35923810.58443.637368275464,172.52938575,-14.82427448888889,3.0112058377808864,-0.2587323990505106,,,,,,,,,,,,,,,,,
0738+177,7:38:07.393747,+17:42:18.998270,L,L,4.038004,2024-05-27 00:00:00+00:00,J0738+1742,10.471666645025834,B,https://data.nrao.edu/portal/#/productViewer/24A-275.sb45390411.eb46131052.60457.815201087964,114.53080727916664,17.70527729722222,1.9989396819885463,0.3090153838151304,,,,,,,,,,,,,,,,,
1056+701,10:56:53.617492,+70:11:45.915850,C,X,3.664517,2021-11-02 00:00:00+00:00,J1056+7011,10.47083331621252,B,https://data.nrao.edu/portal/#/productViewer/21B-358.sb40926235.eb40941793.59520.526829814815,164.22340621666666,70.19608773611111,2.8662391473209574,1.2251528530139513,,,,,,,,,,,,,,,,,
1416+347,14:16:04.186239,+34:44:36.427560,L,L,4.351626,2024-08-09 00:00:00+00:00,J1416+3444,10.338333343388513,B,https://data.nrao.edu/portal/#/productViewer/24A-275.sb45388945.eb46328406.60531.836046157405,214.01744266249997,34.7434521,-2.5478762760207823,0.6063876326539381,,,,,,,,,,,,,,,,,
1635+381,16:35:15.492973,+38:08:04.500600,L,L,9.612098,2020-06-28 00:00:00+00:00,J1635+3808,10.18916666856967,B,https://data.nrao.edu/portal/#/productViewer/20A-251.sb38358730.eb38413180.59028.33456662037,248.8145540541666,38.1345835,-1.9405521120529736,0.665574040951703,,,,,,,,,,,,,,,,,
0323+055,3:23:20.261600,+5:34:11.890900,L,L,9.612122,2020-06-28 00:00:00+00:00,J0323+0534,10.18916665809229,B,https://data.nrao.edu/portal/#/productViewer/20A-251.sb38356988.eb38413552.59028.77487047453,50.834423333333326,5.569969694444445,0.8872280605192975,0.097214310404358,,,,,,,,,,,,,,,,,
1911-201,19:11:09.652893,-20:06:55.109070,L,L X,12.618045,2020-05-03 00:00:00+00:00,J1911-2006,10.175000036833808,C,https://data.nrao.edu/portal/#/productViewer/20A-439.sb38077345.eb38087032.58972.476460659724,287.79022038749997,-20.115308075,-1.2602984063776006,-0.3510783559617525,,,,,,,,,,,,,,,,,
1653+397,16:53:52.216688,+39:45:36.608900,X,C L S X,13.217687,2022-11-20 00:00:00+00:00,J1653+3945,10.13916666735895,C,https://data.nrao.edu/portal/#/productViewer/22B-003.sb42779900.eb43001766.59903.71639168981,253.46756953333332,39.76016913888889,-1.859341671795253,0.6939458626234497,,,,,,,,,,,,,,,,,
