name,ra,dec,wavelength,receiver,flux_jy,usable_configs,usable_A,usable_B,usable_C,usable_D,cfg_A,cfg_B,cfg_C,cfg_D
0240-231,02h40m08.174510s,"-23d09'15.730850""",2cm,U,0.9,"A,B,C,D",True,True,True,True,P,P,P,P
0241-082,02h41m04.798520s,"-08d15'20.751840""",6cm,C,1.15,"A,B",True,True,False,False,P,P,S,X
0241-082,02h41m04.798520s,"-08d15'20.751840""",3.7cm,X,3.1,"A,B,C,D",True,True,True,True,P,P,P,P
0242+110,02h42m29.170847s,"11d01'00.728230""",6cm,C,1.05,"A,B",True,True,False,False,P,P,S,S
0242+110,02h42m29.170847s,"11d01'00.728230""",3.7cm,X,1.08,"A,B",True,True,False,False,P,P,S,S
0242-215,02h42m35.909850s,"-21d32'25.935070""",20cm,L,1.14,"A,B",True,True,False,False,P,P,S,X
0242-215,02h42m35.909850s,"-21d32'25.935070""",6cm,C,0.79,"A,B,C,D",True,True,True,True,P,P,P,P
0242-215,02h42m35.909850s,"-21d32'25.935070""",3.7cm,X,0.58,"A,B,C,D",True,True,True,True,P,P,P,P
0244+624,02h44m57.696827s,"62d28'06.514590""",3.7cm,X,1.88,"A,B,C,D",True,True,True,True,P,P,P,P
0244+624,02h44m57.696827s,"62d28'06.514590""",2cm,U,1.25,"A,B,C,D",True,True,True,True,P,P,P,P
0251+432,02h51m34.536779s,"43d15'15.828580""",6cm,C,1.4,"A,B,C,D",True,True,True,True,P,P,P,P
0251+432,02h51m34.536779s,"43d15'15.828580""",3.7cm,X,1.27,"A,B,C,D",True,True,True,True,P,P,P,P
0259+077,02h59m27.076633s,"07d47'39.643230""",20cm,L,0.93,"A,B",True,True,False,False,P,P,X,X
0259+077,02h59m27.076633s,"07d47'39.643230""",6cm,C,0.78,"A,B",True,True,False,False,P,P,S,S
0259+077,02h59m27.076633s,"07d47'39.643230""",3.7cm,X,0.61,"A,B,C,D",True,True,True,True,P,P,P,P
0303+472,03h03m35.242226s,"47d16'16.275460""",20cm,L,1.8,"A,B",True,True,False,False,P,P,S,S
0303+472,03h03m35.242226s,"47d16'16.275460""",6cm,C,2.47,"A,B,C,D",True,True,True,True,P,P,P,P
0303+472,03h03m35.242226s,"47d16'16.275460""",3.7cm,X,1.43,"A,B,C,D",True,True,True,True,P,P,P,P
0303+472,03h03m35.242226s,"47d16'16.275460""",2cm,U,2.9,"A,B,C,D",True,True,True,True,P,P,P,P
0309+104,03h09m03.623523s,"10d29'16.340820""",6cm,C,1.02,"A,B,C",True,True,True,False,P,P,P,S
0309+104,03h09m03.623523s,"10d29'16.340820""",3.7cm,X,0.71,"A,B,C,D",True,True,True,True,P,P,P,P
0312-148,03h12m46.3988s,"-14d49'52.051""",20cm,L,2.0,D,False,False,False,True,X,X,X,P
0314+432,03h14m43.6413s,"43d14'05.562""",20cm,L,1.3,"C,D",False,False,True,True,X,X,P,P
0318+164,03h18m57.802658s,"16d28'32.698500""",20cm,L,7.81,"A,B,C,D",True,True,True,True,P,P,P,P
0318+164,03h18m57.802658s,"16d28'32.698500""",6cm,C,2.95,"C,D",False,False,True,True,X,S,P,P
0318+164,03h18m57.802658s,"16d28'32.698500""",3.7cm,X,1.63,"C,D",False,False,True,True,X,S,P,P
0319+415,03h19m48.160102s,"41d30'42.103050""",20cm,L,23.9,"A,B",True,True,False,False,P,P,X,X
0319+415,03h19m48.160102s,"41d30'42.103050""",6cm,C,23.3,"A,B,C,D",True,True,True,True,P,P,P,P
0319+415,03h19m48.160102s,"41d30'42.103050""",3.7cm,X,21.7,"A,B,C,D",True,True,True,True,P,P,P,P
0319+415,03h19m48.160102s,"41d30'42.103050""",2cm,U,20.7,"A,B,C,D",True,True,True,True,P,P,P,P
0319+190,03h19m51.256732s,"19d01'31.290890""",6cm,C,0.72,"A,B,C,D",True,True,True,True,P,P,P,P
0319+190,03h19m51.256732s,"19d01'31.290890""",3.7cm,X,0.61,"A,B,C,D",True,True,True,True,P,P,P,P
0321+123,03h21m53.103505s,"12d21'13.954030""",20cm,L,1.74,"A,B,C,D",True,True,True,True,P,P,P,P
0321+123,03h21m53.103505s,"12d21'13.954030""",6cm,C,1.1,"A,B,C,D",True,True,True,True,P,P,P,P
0321+123,03h21m53.103505s,"12d21'13.954030""",3.7cm,X,1.18,"A,B,C,D",True,True,True,True,P,P,P,P
0323+055,03h23m20.2616s,"05d34'11.8909""",20cm,L,2.7,"A,B,C,D",True,True,True,True,P,P,P,P
0325+226,03h25m36.814375s,"22d24'00.365180""",6cm,C,1.18,"A,B,C,D",True,True,True,True,P,P,P,P
0325+226,03h25m36.814375s,"22d24'00.365180""",3.7cm,X,1.21,"A,B,C,D",True,True,True,True,P,P,P,P
0325+226,03h25m36.814375s,"22d24'00.365180""",2cm,U,1.14,"A,B,C,D",True,True,True,True,P,P,P,P
0329-239,03h29m54.075537s,"-23d57'08.773300""",3.7cm,X,0.92,"A,B",True,True,False,False,P,P,S,S
0329+279,03h29m57.669413s,"27d56'15.499140""",20cm,L,1.34,"A,B,C,D",True,True,True,True,P,P,P,P
0329+279,03h29m57.669413s,"27d56'15.499140""",6cm,C,0.88,"A,B,C,D",True,True,True,True,P,P,P,P
0334-401,03h34m13.654494s,"-40d08'25.397980""",6cm,C,1.91,"A,B,C,D",True,True,True,True,P,P,P,P
0334-401,03h34m13.654494s,"-40d08'25.397980""",3.7cm,X,1.57,"A,B,C,D",True,True,True,True,P,P,P,P
0334-401,03h34m13.654494s,"-40d08'25.397980""",2cm,U,1.55,"A,B,C,D",True,True,True,True,P,P,P,P
0336+323,03h36m30.107599s,"32d18'29.342390""",20cm,L,2.74,"A,B,C,D",True,True,True,True,P,P,P,P
0336+323,03h36m30.107599s,"32d18'29.342390""",6cm,C,1.61,"A,B,C,D",True,True,True,True,P,P,P,P
0336+323,03h36m30.107599s,"32d18'29.342390""",3.7cm,X,1.37,"A,B,C,D",True,True,True,True,P,P,P,P
0336+323,03h36m30.107599s,"32d18'29.342390""",2cm,U,1.56,"A,B,C,D",True,True,True,True,P,P,P,P
0339-017,03h39m30.937787s,"-01d46'35.803990""",6cm,C,2.82,"A,B,C,D",True,True,True,True,P,P,P,P
0339-017,03h39m30.937787s,"-01d46'35.803990""",3.7cm,X,2.08,"A,B,C,D",True,True,True,True,P,P,P,P
0340-213,03h40m35.607864s,"-21d19'31.172230""",20cm,L,0.88,A,True,False,False,False,P,S,X,X
0340-213,03h40m35.607864s,"-21d19'31.172230""",3.7cm,X,1.12,"B,C,D",False,True,True,True,S,P,P,P
0348-278,03h48m38.144561s,"-27d49'13.565300""",3.7cm,X,1.78,"A,B,C,D",True,True,True,True,P,P,P,P
0348-278,03h48m38.144561s,"-27d49'13.565300""",2cm,U,2.2,"A,B,C,D",True,True,True,True,P,P,P,P
0349+461,03h49m18.741557s,"46d09'59.658150""",6cm,C,1.0,"A,B,C,D",True,True,True,True,P,P,P,P
0349+461,03h49m18.741557s,"46d09'59.658150""",3.7cm,X,1.0,"A,B,C,D",True,True,True,True,P,P,P,P
0349+461,03h49m18.741557s,"46d09'59.658150""",2cm,U,0.9,"A,B,C,D",True,True,True,True,P,P,P,P
0358+561,03h58m30.1793s,"56d06'44.493""",3.7cm,X,0.62,"A,B,C,D",True,True,True,True,P,P,P,P
0359+509,03h59m29.747262s,"50d57'50.161510""",20cm,L,5.3,"C,D",False,False,True,True,X,S,P,P
0359+509,03h59m29.747262s,"50d57'50.161510""",6cm,C,3.0,"B,C,D",False,True,True,True,S,P,P,P
0359+323,03h59m44.912900s,"32d20'47.155500""",2cm,U,1.1,"A,B,C,D",True,True,True,True,P,P,P,P
0402-317,04h02m21.266027s,"-31d47'25.945580""",20cm,L,0.7,"A,B",True,True,False,False,P,P,S,X
0402-317,04h02m21.266027s,"-31d47'25.945580""",6cm,C,0.82,"A,B",True,True,False,False,P,P,S,S
0402-317,04h02m21.266027s,"-31d47'25.945580""",3.7cm,X,0.65,"A,B,C,D",True,True,True,True,P,P,P,P
0403+260,04h03m05.586048s,"26d00'01.502740""",20cm,L,1.7,"A,B,C,D",True,True,True,True,P,P,P,P
0403+260,04h03m05.586048s,"26d00'01.502740""",6cm,C,1.27,"A,B,C,D",True,True,True,True,P,P,P,P
0403+260,04h03m05.586048s,"26d00'01.502740""",3.7cm,X,0.74,"A,B,C,D",True,True,True,True,P,P,P,P
0403-360,04h03m53.749908s,"-36d05'01.913200""",6cm,C,1.8,"A,B,C,D",True,True,True,True,P,P,P,P
0403-360,04h03m53.749908s,"-36d05'01.913200""",3.7cm,X,3.9,"A,B,C,D",True,True,True,True,P,P,P,P
0403-360,04h03m53.749908s,"-36d05'01.913200""",2cm,U,4.2,"A,B,C,D",True,True,True,True,P,P,P,P
0405-131,04h05m34.003401s,"-13d08'13.691050""",6cm,C,2.5,"C,D",False,False,True,True,X,X,P,P
0405-131,04h05m34.003401s,"-13d08'13.691050""",3.7cm,X,2.1,D,False,False,False,True,X,X,X,P
0406-384,04h06m59.035347s,"-38d26'28.042060""",6cm,C,0.72,"A,B,C,D",True,True,True,True,P,P,P,P
0406-384,04h06m59.035347s,"-38d26'28.042060""",2cm,U,2.0,"A,B,C,D",True,True,True,True,P,P,P,P
0407-330,04h07m33.9211s,"-33d03'46.001""",6cm,C,0.61,"A,B,C,D",True,True,True,True,P,P,P,P
0407-330,04h07m33.9211s,"-33d03'46.001""",3.7cm,X,0.65,"A,B,C,D",True,True,True,True,P,P,P,P
0409-179,04h09m06.7000s,"-17d57'10.039""",20cm,L,2.2,"B,C,D",False,True,True,True,S,P,P,P
0409+122,04h09m22.008740s,"12d17'39.847500""",20cm,L,1.0,"A,B",True,True,False,False,P,P,S,S
0409+122,04h09m22.008740s,"12d17'39.847500""",6cm,C,0.88,"A,B,C,D",True,True,True,True,P,P,P,P
0410+769,04h10m45.6057s,"76d56'45.301""",20cm,L,5.76,"A,B,C,D",True,True,True,True,P,P,P,P
0410+769,04h10m45.6057s,"76d56'45.301""",6cm,C,2.79,"A,B,C,D",True,True,True,True,P,P,P,P
0410+769,04h10m45.6057s,"76d56'45.301""",3.7cm,X,2.21,"A,B,C,D",True,True,True,True,P,P,P,P
0410+769,04h10m45.6057s,"76d56'45.301""",2cm,U,1.46,"A,B,C,D",True,True,True,True,P,P,P,P
0410+769,04h10m45.6057s,"76d56'45.301""",1.3cm,K,1.11,"B,C,D",False,True,True,True,S,P,P,P
0414+343,04h14m37.255748s,"34d18'51.207380""",20cm,L,2.03,"A,B,C,D",True,True,True,True,P,P,P,P
0414+343,04h14m37.255748s,"34d18'51.207380""",6cm,C,1.5,"A,B,C,D",True,True,True,True,P,P,P,P
0414+343,04h14m37.255748s,"34d18'51.207380""",3.7cm,X,1.23,"A,B,C,D",True,True,True,True,P,P,P,P
0414+343,04h14m37.255748s,"34d18'51.207380""",2cm,U,0.97,"A,B,C,D",True,True,True,True,P,P,P,P
0416-209,04h16m04.359742s,"-20d56'27.517790""",20cm,L,2.4,D,False,False,False,True,X,X,S,P
0416-188,04h16m36.544466s,"-18d51'08.340120""",20cm,L,0.8,"A,B,C,D",True,True,True,True,P,P,P,P
0416-188,04h16m36.544466s,"-18d51'08.340120""",6cm,C,0.65,"A,B,C,D",True,True,True,True,P,P,P,P
0416-188,04h16m36.544466s,"-18d51'08.340120""",3.7cm,X,0.67,"A,B,C,D",True,True,True,True,P,P,P,P
0416-188,04h16m36.544466s,"-18d51'08.340120""",2cm,U,1.1,"A,B,C,D",True,True,True,True,P,P,P,P
0423-013,04h23m15.800727s,"-01d20'33.065310""",20cm,L,1.6,"A,B,C,D",True,True,True,True,P,P,P,P
0423-013,04h23m15.800727s,"-01d20'33.065310""",6cm,C,3.7,"A,B,C,D",True,True,True,True,P,P,P,P
0423-013,04h23m15.800727s,"-01d20'33.065310""",3.7cm,X,4.25,"A,B,C,D",True,True,True,True,P,P,P,P
0423-013,04h23m15.800727s,"-01d20'33.065310""",2cm,U,4.3,"A,B,C,D",True,True,True,True,P,P,P,P
0423+418,04h23m56.009795s,"41d50'02.712770""",20cm,L,2.0,"C,D",False,False,True,True,X,X,P,P
0423+418,04h23m56.009795s,"41d50'02.712770""",3.7cm,X,1.12,"A,B,C,D",True,True,True,True,P,P,P,P
0423+418,04h23m56.009795s,"41d50'02.712770""",2cm,U,0.72,"A,B,C,D",True,True,True,True,P,P,P,P
0423+348,04h23m53.2410s,"34d51'44.540""",20cm,L,1.3,D,False,False,False,True,X,S,S,P
0424+020,04h24m08.562028s,"02d04'24.964950""",6cm,C,0.75,"A,B",True,True,False,False,P,P,S,S
0424+020,04h24m08.562028s,"02d04'24.964950""",3.7cm,X,0.57,"A,B,C,D",True,True,True,True,P,P,P,P
0424-379,04h24m42.243727s,"-37d56'20.784230""",6cm,C,0.92,"A,B",True,True,False,False,P,P,S,S
0424-379,04h24m42.243727s,"-37d56'20.784230""",3.7cm,X,1.55,"A,B,C,D",True,True,True,True,P,P,P,P
0424-379,04h24m42.243727s,"-37d56'20.784230""",2cm,U,1.3,"A,B,C,D",True,True,True,True,P,P,P,P
0424+006,04h24m46.842052s,"00d36'06.329830""",20cm,L,0.6,A,True,False,False,False,P,S,X,X
0428-379,04h28m40.424306s,"-37d56'19.580310""",3.7cm,X,1.95,"A,B,C,D",True,True,True,True,P,P,P,P
0428-379,04h28m40.424306s,"-37d56'19.580310""",2cm,U,1.3,"A,B,C,D",True,True,True,True,P,P,P,P
0431+206,04h31m03.7620s,"20d37'34.250""",20cm,L,3.85,"A,B,C,D",True,True,True,True,P,P,P,P
0431+206,04h31m03.7620s,"20d37'34.250""",6cm,C,2.35,"C,D",False,False,True,True,X,S,P,P
0431+206,04h31m03.7620s,"20d37'34.250""",3.7cm,X,1.66,D,False,False,False,True,X,X,S,P
0432+416,04h32m36.502609s,"41d38'28.448550""",20cm,L,8.6,"A,B,C,D",True,True,True,True,P,P,P,P
0432+416,04h32m36.502609s,"41d38'28.448550""",6cm,C,3.7,"C,D",False,False,True,True,X,S,P,P
0432+416,04h32m36.502609s,"41d38'28.448550""",3.7cm,X,2.6,"C,D",False,False,True,True,X,S,P,P
0432+416,04h32m36.502609s,"41d38'28.448550""",2cm,U,1.6,D,False,False,False,True,X,X,S,P
