name,ra,dec,wavelength,receiver,flux_jy,usable_configs,usable_A,usable_B,usable_C,usable_D,cfg_A,cfg_B,cfg_C,cfg_D
0536-340,05h36m28.4383s,"-34d01'11.381""",3.7cm,X,1.0,"A,B,C,D",True,True,True,True,P,P,P,P
0538-440,05h38m50.361551s,"-44d05'08.939080""",20cm,L,3.8,"A,B,C,D",True,True,True,True,P,P,P,P
0538-440,05h38m50.361551s,"-44d05'08.939080""",6cm,C,3.4,"A,B,C,D",True,True,True,True,P,P,P,P
0538-440,05h38m50.361551s,"-44d05'08.939080""",3.7cm,X,4.2,"A,B,C,D",True,True,True,True,P,P,P,P
0538-440,05h38m50.361551s,"-44d05'08.939080""",2cm,U,4.5,"A,B,C,D",True,True,True,True,P,P,P,P
0539-286,05h39m54.281429s,"-28d39'55.947450""",6cm,C,1.2,"A,B,C,D",True,True,True,True,P,P,P,P
0539-286,05h39m54.281429s,"-28d39'55.947450""",3.7cm,X,0.76,"A,B,C,D",True,True,True,True,P,P,P,P
0541+532,05h41m16.174035s,"53d12'24.834150""",6cm,C,0.8,"A,B",True,True,False,False,P,P,S,S
0541+532,05h41m16.174035s,"53d12'24.834150""",3.7cm,X,0.8,"A,B,C,D",True,True,True,True,P,P,P,P
0541-056,05h41m38.083384s,"-05d41'49.428390""",6cm,C,1.25,"A,B,C,D",True,True,True,True,P,P,P,P
0541-056,05h41m38.083384s,"-05d41'49.428390""",3.7cm,X,0.98,"A,B,C,D",True,True,True,True,P,P,P,P
0541-056,05h41m38.083384s,"-05d41'49.428390""",2cm,U,1.3,"A,B,C,D",True,True,True,True,P,P,P,P
0542+498,05h42m36.137916s,"49d51'07.233560""",20cm,L,22.5,"C,D",False,False,True,True,X,S,P,P
0542+498,05h42m36.137916s,"49d51'07.233560""",6cm,C,7.94,D,False,False,False,True,X,X,S,P
0542+498,05h42m36.137916s,"49d51'07.233560""",3.7cm,X,4.84,D,False,False,False,True,X,X,S,P
0552+032,05h52m50.101478s,"03d13'27.243150""",6cm,C,0.78,"A,B,C,D",True,True,True,True,P,P,P,P
0552+032,05h52m50.101478s,"03d13'27.243150""",3.7cm,X,0.74,"A,B,C,D",True,True,True,True,P,P,P,P
0555+398,05h55m30.805608s,"39d48'49.165000""",20cm,L,1.7,"A,B,C,D",True,True,True,True,P,P,P,P
0555+398,05h55m30.805608s,"39d48'49.165000""",6cm,C,5.0,"A,B,C,D",True,True,True,True,P,P,P,P
0555+398,05h55m30.805608s,"39d48'49.165000""",3.7cm,X,6.2,"A,B,C,D",True,True,True,True,P,P,P,P
0555+398,05h55m30.805608s,"39d48'49.165000""",2cm,U,2.8,"A,B,C,D",True,True,True,True,P,P,P,P
0559+238,05h59m32.033133s,"23d53'53.926900""",6cm,C,1.05,"A,B,C,D",True,True,True,True,P,P,P,P
0559+238,05h59m32.033133s,"23d53'53.926900""",3.7cm,X,0.95,"A,B,C,D",True,True,True,True,P,P,P,P
0603+219,06h03m51.557091s,"21d59'37.697500""",20cm,L,2.75,"C,D",False,False,True,True,X,X,P,P
0604-424,06h04m25.1779s,"-42d25'29.593""",3.7cm,X,0.58,"A,B,C,D",True,True,True,True,P,P,P,P
0604+442,06h04m35.628762s,"44d13'58.549500""",6cm,C,0.7,"A,B,C,D",True,True,True,True,P,P,P,P
0605+405,06h05m50.855350s,"40d30'08.103030""",2cm,U,1.1,"A,B,C,D",True,True,True,True,P,P,P,P
0607+673,06h07m52.671622s,"67d20'55.409770""",6cm,C,0.68,"A,B,C,D",True,True,True,True,P,P,P,P
0607+673,06h07m52.671622s,"67d20'55.409770""",3.7cm,X,0.58,"A,B,C,D",True,True,True,True,P,P,P,P
0607-085,06h07m59.699243s,"-08d34'49.978150""",20cm,L,3.0,"A,B,C",True,True,True,False,P,P,P,S
0607-085,06h07m59.699243s,"-08d34'49.978150""",6cm,C,2.7,"A,B,C,D",True,True,True,True,P,P,P,P
0607-085,06h07m59.699243s,"-08d34'49.978150""",3.7cm,X,3.22,"A,B,C,D",True,True,True,True,P,P,P,P
0607-085,06h07m59.699243s,"-08d34'49.978150""",2cm,U,2.1,"A,B,C,D",True,True,True,True,P,P,P,P
0608-223,06h08m59.686836s,"-22d20'20.955920""",6cm,C,0.75,"A,B,C,D",True,True,True,True,P,P,P,P
0609+480,06h09m32.5364s,"48d04'15.571""",20cm,L,4.2,D,False,False,False,True,X,X,X,P
0609-157,06h09m40.949538s,"-15d42'40.672640""",20cm,L,1.7,"A,B,C",True,True,True,False,P,P,P,S
0609-157,06h09m40.949538s,"-15d42'40.672640""",6cm,C,8.3,"A,B,C,D",True,True,True,True,P,P,P,P
0609-157,06h09m40.949538s,"-15d42'40.672640""",3.7cm,X,9.2,"A,B,C,D",True,True,True,True,P,P,P,P
0614+607,06h14m23.866195s,"60d46'21.755380""",20cm,L,1.26,"A,B,C,D",True,True,True,True,P,P,P,P
0614+607,06h14m23.866195s,"60d46'21.755380""",6cm,C,1.1,"A,B,C,D",True,True,True,True,P,P,P,P
0614+607,06h14m23.866195s,"60d46'21.755380""",3.7cm,X,0.8,"A,B,C,D",True,True,True,True,P,P,P,P
0616-349,06h16m35.981384s,"-34d56'16.564670""",20cm,L,2.8,"B,C,D",False,True,True,True,X,P,P,P
0616-349,06h16m35.981384s,"-34d56'16.564670""",6cm,C,1.2,D,False,False,False,True,X,X,S,P
0617-365,06h17m32.323928s,"-36d34'14.801892""",20cm,L,2.02,"C,D",False,False,True,True,X,S,P,P
0624+389,06h24m19.021305s,"38d56'48.735910""",6cm,C,0.76,"A,B",True,True,False,False,P,P,S,X
0624+389,06h24m19.021305s,"38d56'48.735910""",3.7cm,X,0.65,"A,B,C,D",True,True,True,True,P,P,P,P
0625+146,06h25m45.9187s,"14d40'19.550""",6cm,C,0.92,D,False,False,False,True,X,X,S,P
0625+146,06h25m45.9187s,"14d40'19.550""",3.7cm,X,0.7,D,False,False,False,True,X,X,S,P
0626+820,06h26m03.006188s,"82d02'25.567640""",6cm,C,1.0,"A,B,C,D",True,True,True,True,P,P,P,P
0626+820,06h26m03.006188s,"82d02'25.567640""",3.7cm,X,0.68,"A,B,C,D",True,True,True,True,P,P,P,P
0629-199,06h29m23.761851s,"-19d59'19.723450""",3.7cm,X,0.64,"A,B,C,D",True,True,True,True,P,P,P,P
0632+103,06h32m15.3269s,"10d22'01.676""",20cm,L,2.45,"A,B,C,D",True,True,True,True,P,P,P,P
0632+103,06h32m15.3269s,"10d22'01.676""",6cm,C,0.9,"A,B,C,D",True,True,True,True,P,P,P,P
0639-337,06h39m20.904674s,"-33d46'00.113060""",3.7cm,X,0.54,"A,B,C,D",True,True,True,True,P,P,P,P
0641-033,06h41m51.1335s,"-03d20'48.500""",3.7cm,X,0.71,"A,B,C,D",True,True,True,True,P,P,P,P
0644-349,06h44m25.2817s,"-34d59'42.140""",6cm,C,1.1,"A,B,C,D",True,True,True,True,P,P,P,P
0644-349,06h44m25.2817s,"-34d59'42.140""",3.7cm,X,0.98,"A,B,C,D",True,True,True,True,P,P,P,P
0645+213,06h45m24.099508s,"21d21'51.201600""",3.7cm,X,0.51,"A,B",True,True,False,False,P,P,S,X
0646+448,06h46m32.025985s,"44d51'16.590130""",6cm,C,0.7,"A,B,C,D",True,True,True,True,P,P,P,P
0646+448,06h46m32.025985s,"44d51'16.590130""",3.7cm,X,2.2,"A,B,C,D",True,True,True,True,P,P,P,P
0646+448,06h46m32.025985s,"44d51'16.590130""",2cm,U,2.5,"A,B,C,D",True,True,True,True,P,P,P,P
0648-307,06h48m14.096441s,"-30d44'19.659400""",20cm,L,0.8,A,True,False,False,False,P,X,X,X
0648-307,06h48m14.096441s,"-30d44'19.659400""",6cm,C,1.0,"A,B,C,D",True,True,True,True,P,P,P,P
0648-307,06h48m14.096441s,"-30d44'19.659400""",3.7cm,X,0.82,"A,B,C,D",True,True,True,True,P,P,P,P
0648-307,06h48m14.096441s,"-30d44'19.659400""",2cm,U,0.85,"A,B,C,D",True,True,True,True,P,P,P,P
0650-166,06h50m24.581852s,"-16d37'39.725000""",6cm,C,2.6,"A,B,C,D",True,True,True,True,P,P,P,P
0650-166,06h50m24.581852s,"-16d37'39.725000""",3.7cm,X,0.96,"A,B,C,D",True,True,True,True,P,P,P,P
0650+600,06h50m31.254325s,"60d01'44.555690""",6cm,C,0.8,"A,B,C,D",True,True,True,True,P,P,P,P
0650+600,06h50m31.254325s,"60d01'44.555690""",3.7cm,X,0.8,"A,B,C,D",True,True,True,True,P,P,P,P
0653-064,06h53m00.5987s,"-06d25'32.520""",3.7cm,X,0.72,"A,B,C,D",True,True,True,True,P,P,P,P
0653+370,06h53m58.282842s,"37d05'40.606420""",6cm,C,0.6,"A,B,C,D",True,True,True,True,P,P,P,P
0653+370,06h53m58.282842s,"37d05'40.606420""",3.7cm,X,0.91,"A,B,C,D",True,True,True,True,P,P,P,P
0655+541,06h55m14.8223s,"54d08'58.421""",20cm,L,3.6,D,False,False,False,True,X,X,X,P
0700+171,07h00m01.525538s,"17d09'21.701540""",6cm,C,0.79,"A,B,C,D",True,True,True,True,P,P,P,P
0700+171,07h00m01.525538s,"17d09'21.701540""",3.7cm,X,0.95,"A,B,C,D",True,True,True,True,P,P,P,P
0700+171,07h00m01.525538s,"17d09'21.701540""",2cm,U,1.0,"A,B,C,D",True,True,True,True,P,P,P,P
0702+445,07h02m53.6790s,"44d31'11.940""",20cm,L,2.4,"B,C,D",False,True,True,True,X,P,P,P
0706-231,07h06m33.4782s,"-23d11'37.530""",20cm,L,3.61,"C,D",False,False,True,True,X,X,P,P
0710+475,07h10m46.104900s,"47d32'11.142670""",3.7cm,X,0.7,"A,B,C,D",True,True,True,True,P,P,P,P
0713+438,07h13m38.164129s,"43d49'17.206980""",20cm,L,1.99,"A,B,C,D",True,True,True,True,P,P,P,P
0713+438,07h13m38.164129s,"43d49'17.206980""",6cm,C,1.57,"A,B,C,D",True,True,True,True,P,P,P,P
0713+438,07h13m38.164129s,"43d49'17.206980""",3.7cm,X,1.14,"A,B,C,D",True,True,True,True,P,P,P,P
0714+355,07h14m24.817480s,"35d34'39.795330""",20cm,L,1.8,"A,B",True,True,False,False,P,P,S,X
0714+355,07h14m24.817480s,"35d34'39.795330""",6cm,C,1.1,"A,B,C,D",True,True,True,True,P,P,P,P
0714+355,07h14m24.817480s,"35d34'39.795330""",3.7cm,X,0.62,"A,B,C,D",True,True,True,True,P,P,P,P
0721+713,07h21m53.448459s,"71d20'36.363390""",3.7cm,X,0.66,"A,B,C,D",True,True,True,True,P,P,P,P
0725+144,07h25m16.807752s,"14d25'13.746840""",6cm,C,0.8,"A,B,C,D",True,True,True,True,P,P,P,P
0725+144,07h25m16.807752s,"14d25'13.746840""",3.7cm,X,0.78,"A,B,C,D",True,True,True,True,P,P,P,P
0725-009,07h25m50.639953s,"-00d54'56.544380""",20cm,L,0.9,"A,B,C",True,True,True,False,P,P,P,S
0725-009,07h25m50.639953s,"-00d54'56.544380""",6cm,C,1.1,"A,B,C,D",True,True,True,True,P,P,P,P
0725-009,07h25m50.639953s,"-00d54'56.544380""",3.7cm,X,1.1,"A,B,C,D",True,True,True,True,P,P,P,P
0725-009,07h25m50.639953s,"-00d54'56.544380""",2cm,U,1.1,"A,B,C,D",True,True,True,True,P,P,P,P
0726+791,07h26m11.735177s,"79d11'31.016240""",6cm,C,0.8,"A,B,C,D",True,True,True,True,P,P,P,P
0726+791,07h26m11.735177s,"79d11'31.016240""",3.7cm,X,0.7,"A,B,C,D",True,True,True,True,P,P,P,P
0729-366,07h29m05.415916s,"-36d39'45.240505""",20cm,L,1.19,"A,B",True,True,False,False,P,P,S,X
0730-116,07h30m19.112472s,"-11d41'12.600480""",20cm,L,1.65,"A,B",True,True,False,False,P,P,S,X
0730-116,07h30m19.112472s,"-11d41'12.600480""",6cm,C,2.6,"A,B,C,D",True,True,True,True,P,P,P,P
0730-116,07h30m19.112472s,"-11d41'12.600480""",3.7cm,X,3.97,"A,B,C,D",True,True,True,True,P,P,P,P
0730-116,07h30m19.112472s,"-11d41'12.600480""",2cm,U,2.5,"A,B,C,D",True,True,True,True,P,P,P,P
0735-175,07h35m45.812488s,"-17d35'48.502230""",20cm,L,2.6,"A,B,C,D",True,True,True,True,P,P,P,P
0735-175,07h35m45.812488s,"-17d35'48.502230""",6cm,C,1.75,"A,B,C,D",True,True,True,True,P,P,P,P
0735-175,07h35m45.812488s,"-17d35'48.502230""",3.7cm,X,1.43,"A,B,C,D",True,True,True,True,P,P,P,P
0735-175,07h35m45.812488s,"-17d35'48.502230""",2cm,U,1.0,"A,B,C,D",True,True,True,True,P,P,P,P
0735+331,07h35m55.5660s,"33d07'09.410""",20cm,L,2.4,"B,C,D",False,True,True,True,X,P,P,P
0738+177,07h38m07.393747s,"17d42'18.998270""",20cm,L,2.2,"A,B,C,D",True,True,True,True,P,P,P,P
0738+177,07h38m07.393747s,"17d42'18.998270""",6cm,C,2.2,"A,B,C,D",True,True,True,True,P,P,P,P
0738+177,07h38m07.393747s,"17d42'18.998270""",3.7cm,X,3.5,"A,B,C,D",True,True,True,True,P,P,P,P
0738+177,07h38m07.393747s,"17d42'18.998270""",2cm,U,1.9,"A,B,C,D",True,True,True,True,P,P,P,P
0739+016,07h39m18.033894s,"01d37'04.618030""",20cm,L,1.95,"A,B,C,D",True,True,True,True,P,P,P,P
0739+016,07h39m18.033894s,"01d37'04.618030""",6cm,C,1.8,"A,B,C,D",True,True,True,True,P,P,P,P
0739+016,07h39m18.033894s,"01d37'04.618030""",3.7cm,X,2.0,"A,B,C,D",True,True,True,True,P,P,P,P
0739+016,07h39m18.033894s,"01d37'04.618030""",2cm,U,2.05,"A,B,C,D",True,True,True,True,P,P,P,P
0741+312,07h41m10.703308s,"31d12'00.228620""",20cm,L,2.0,"A,B,C,D",True,True,True,True,P,P,P,P
0741+312,07h41m10.703308s,"31d12'00.228620""",6cm,C,1.6,"A,B,C,D",True,True,True,True,P,P,P,P
0741+312,07h41m10.703308s,"31d12'00.228620""",3.7cm,X,2.1,"A,B,C,D",True,True,True,True,P,P,P,P
0741+312,07h41m10.703308s,"31d12'00.228620""",2cm,U,1.0,"A,B,C,D",True,True,True,True,P,P,P,P
0744-064,07h44m21.6605s,"-06d29'35.888""",20cm,L,8.5,"B,C,D",False,True,True,True,S,P,P,P
0744-064,07h44m21.6605s,"-06d29'35.888""",6cm,C,3.0,"C,D",False,False,True,True,X,S,P,P
0744-064,07h44m21.6605s,"-06d29'35.888""",3.7cm,X,1.6,D,False,False,False,True,X,X,S,P
0745+101,07h45m33.059511s,"10d11'12.692470""",20cm,L,3.3,"A,B,C,D",True,True,True,True,P,P,P,P
0745+101,07h45m33.059511s,"10d11'12.692470""",6cm,C,3.5,"A,B,C,D",True,True,True,True,P,P,P,P
0745+101,07h45m33.059511s,"10d11'12.692470""",3.7cm,X,2.95,"A,B,C,D",True,True,True,True,P,P,P,P
0745+101,07h45m33.059511s,"10d11'12.692470""",2cm,U,2.2,"A,B,C,D",True,True,True,True,P,P,P,P
0745+317,07h45m41.671522s,"31d42'56.615620""",3.7cm,X,0.63,"A,B,C,D",True,True,True,True,P,P,P,P
0745-007,07h45m54.082313s,"-00d44'17.539800""",6cm,C,1.3,"A,B,C,D",True,True,True,True,P,P,P,P
0745-007,07h45m54.082313s,"-00d44'17.539800""",3.7cm,X,1.95,"A,B,C,D",True,True,True,True,P,P,P,P
0745-007,07h45m54.082313s,"-00d44'17.539800""",2cm,U,1.2,"A,B,C,D",True,True,True,True,P,P,P,P
0747-331,07h47m19.6883s,"-33d10'47.127""",3.7cm,X,1.0,"A,B,C,D",True,True,True,True,P,P,P,P
0748+240,07h48m36.109278s,"24d00'24.110180""",3.7cm,X,1.22,"A,B,C,D",True,True,True,True,P,P,P,P
0750+482,07h50m20.436304s,"48d14'53.556410""",6cm,C,0.76,"A,B,C,D",True,True,True,True,P,P,P,P
0750+482,07h50m20.436304s,"48d14'53.556410""",3.7cm,X,0.87,"A,B,C,D",True,True,True,True,P,P,P,P
0750+482,07h50m20.436304s,"48d14'53.556410""",2cm,U,1.6,"A,B,C,D",True,True,True,True,P,P,P,P
0750+125,07h50m52.045731s,"12d31'04.828160""",6cm,C,1.5,"A,B,C,D",True,True,True,True,P,P,P,P
0750+125,07h50m52.045731s,"12d31'04.828160""",3.7cm,X,1.14,"A,B,C,D",True,True,True,True,P,P,P,P
0750+125,07h50m52.045731s,"12d31'04.828160""",2cm,U,3.6,"A,B,C,D",True,True,True,True,P,P,P,P
0753+538,07h53m01.384573s,"53d52'59.637160""",6cm,C,1.5,"A,B,C,D",True,True,True,True,P,P,P,P
0753+538,07h53m01.384573s,"53d52'59.637160""",3.7cm,X,1.42,"A,B,C,D",True,True,True,True,P,P,P,P
0753+538,07h53m01.384573s,"53d52'59.637160""",2cm,U,1.6,"A,B,C,D",True,True,True,True,P,P,P,P
0757+099,07h57m06.642936s,"09d56'34.852100""",6cm,C,1.25,"A,B,C,D",True,True,True,True,P,P,P,P
0757+099,07h57m06.642936s,"09d56'34.852100""",3.7cm,X,1.28,"A,B,C,D",True,True,True,True,P,P,P,P
0757+099,07h57m06.642936s,"09d56'34.852100""",2cm,U,1.5,"A,B,C,D",True,True,True,True,P,P,P,P
0801+142,08h01m33.5010s,"14d14'42.406""",20cm,L,2.5,D,False,False,False,True,X,X,S,P
0804+102,08h04m47.9546s,"10d15'22.548""",20cm,L,1.8,D,False,False,False,True,X,X,S,P
0804-278,08h04m51.451191s,"-27d49'11.320180""",3.7cm,X,0.58,"A,B,C,D",True,True,True,True,P,P,P,P
0805+617,08h05m18.1851s,"61d44'23.658""",3.7cm,X,0.95,"A,B,C,D",True,True,True,True,P,P,P,P
0808-078,08h08m15.536036s,"-07d51'09.886340""",2cm,U,2.6,"A,B,C,D",True,True,True,True,P,P,P,P
0808+498,08h08m39.666274s,"49d50'36.530460""",6cm,C,1.6,"A,B,C,D",True,True,True,True,P,P,P,P
0808+498,08h08m39.666274s,"49d50'36.530460""",3.7cm,X,1.08,"A,B,C,D",True,True,True,True,P,P,P,P
0808+498,08h08m39.666274s,"49d50'36.530460""",2cm,U,1.0,"A,B,C,D",True,True,True,True,P,P,P,P
0808+408,08h08m56.652038s,"40d52'44.888890""",3.7cm,X,1.17,"A,B,C,D",True,True,True,True,P,P,P,P
0808+408,08h08m56.652038s,"40d52'44.888890""",2cm,U,1.15,"A,B,C,D",True,True,True,True,P,P,P,P
0811+017,08h11m26.707322s,"01d46'52.220020""",3.7cm,X,0.85,"A,B,C,D",True,True,True,True,P,P,P,P
0811+017,08h11m26.707322s,"01d46'52.220020""",2cm,U,1.3,"A,B,C,D",True,True,True,True,P,P,P,P
0815+365,08h15m25.944824s,"36d35'15.148300""",3.7cm,X,0.78,"A,B",True,True,False,False,P,P,S,S
0818+423,08h18m15.999602s,"42d22'45.414940""",20cm,L,1.5,"A,B",True,True,False,False,P,P,X,X
0818+423,08h18m15.999602s,"42d22'45.414940""",6cm,C,1.8,"A,B,C,D",True,True,True,True,P,P,P,P
0818+423,08h18m15.999602s,"42d22'45.414940""",3.7cm,X,1.4,"A,B,C,D",True,True,True,True,P,P,P,P
0824+558,08h24m47.236351s,"55d52'42.669380""",20cm,L,1.2,A,True,False,False,False,P,S,X,X
0824+558,08h24m47.236351s,"55d52'42.669380""",6cm,C,1.0,"A,B,C,D",True,True,True,True,P,P,P,P
0824+558,08h24m47.236351s,"55d52'42.669380""",3.7cm,X,1.58,"A,B,C,D",True,True,True,True,P,P,P,P
0824+392,08h24m55.483865s,"39d16'41.904300""",2cm,U,1.38,"C,D",False,False,True,True,X,X,P,P
0825+031,08h25m50.338355s,"03d09'24.520140""",20cm,L,1.1,"A,B",True,True,False,False,P,P,S,S
0825+031,08h25m50.338355s,"03d09'24.520140""",6cm,C,1.1,"A,B,C,D",True,True,True,True,P,P,P,P
0825+031,08h25m50.338355s,"03d09'24.520140""",3.7cm,X,1.23,"A,B,C,D",True,True,True,True,P,P,P,P
0825+031,08h25m50.338355s,"03d09'24.520140""",2cm,U,2.7,"A,B,C,D",True,True,True,True,P,P,P,P
0826-225,08h26m01.572909s,"-22d30'27.202110""",20cm,L,1.2,A,True,False,False,False,P,X,X,X
0826-225,08h26m01.572909s,"-22d30'27.202110""",6cm,C,1.8,"A,B",True,True,False,False,P,P,S,S
0826-225,08h26m01.572909s,"-22d30'27.202110""",3.7cm,X,1.12,"A,B,C,D",True,True,True,True,P,P,P,P
0828-375,08h28m04.780268s,"-37d31'06.280640""",20cm,L,2.1,"A,B,C,D",True,True,True,True,P,P,P,P
0828-375,08h28m04.780268s,"-37d31'06.280640""",6cm,C,2.3,"A,B,C,D",True,True,True,True,P,P,P,P
0828-375,08h28m04.780268s,"-37d31'06.280640""",3.7cm,X,2.44,"A,B,C,D",True,True,True,True,P,P,P,P
0828-375,08h28m04.780268s,"-37d31'06.280640""",2cm,U,2.5,"A,B,C,D",True,True,True,True,P,P,P,P
0828-375,08h28m04.780268s,"-37d31'06.280640""",1.3cm,K,1.6,"A,B,C,D",True,True,True,True,P,P,P,P
0831+044,08h31m48.876955s,"04d29'39.085340""",6cm,C,1.0,"A,B",True,True,False,False,P,P,S,S
0831+044,08h31m48.876955s,"04d29'39.085340""",3.7cm,X,1.24,"A,B,C,D",True,True,True,True,P,P,P,P
0832+185,08h32m16.040224s,"18d32'12.133260""",6cm,C,0.65,"A,B,C,D",True,True,True,True,P,P,P,P
0832+185,08h32m16.040224s,"18d32'12.133260""",3.7cm,X,0.5,"A,B,C,D",True,True,True,True,P,P,P,P
0832+492,08h32m23.216688s,"49d13'21.038230""",20cm,L,0.5,"A,B,C",True,True,True,False,P,P,P,S
0832+492,08h32m23.216688s,"49d13'21.038230""",6cm,C,1.1,"A,B,C,D",True,True,True,True,P,P,P,P
0834+555,08h34m54.904117s,"55d34'21.070980""",20cm,L,8.8,"B,C,D",False,True,True,True,S,P,P,P
0834+555,08h34m54.904117s,"55d34'21.070980""",6cm,C,5.6,"C,D",False,False,True,True,X,S,P,P
0834+555,08h34m54.904117s,"55d34'21.070980""",3.7cm,X,3.3,D,False,False,False,True,X,X,S,P
0834+555,08h34m54.904117s,"55d34'21.070980""",2cm,U,1.6,D,False,False,False,True,X,X,S,P
0836-202,08h36m39.215215s,"-20d16'59.503500""",20cm,L,1.5,A,True,False,False,False,P,S,X,X
0836-202,08h36m39.215215s,"-20d16'59.503500""",6cm,C,1.4,"A,B,C,D",True,True,True,True,P,P,P,P
0836-202,08h36m39.215215s,"-20d16'59.503500""",3.7cm,X,1.58,"A,B,C,D",True,True,True,True,P,P,P,P
0836-202,08h36m39.215215s,"-20d16'59.503500""",2cm,U,1.1,"A,B,C,D",True,True,True,True,P,P,P,P
0837-198,08h37m11.1820s,"-19d51'56.810""",6cm,C,1.5,"C,D",False,False,True,True,X,S,P,P
0837-198,08h37m11.1820s,"-19d51'56.810""",3.7cm,X,0.86,D,False,False,False,True,X,X,S,P
0837+584,08h37m22.409733s,"58d25'01.845210""",6cm,C,1.2,"A,B,C,D",True,True,True,True,P,P,P,P
0837+584,08h37m22.409733s,"58d25'01.845210""",3.7cm,X,0.56,"A,B,C,D",True,True,True,True,P,P,P,P
0837+249,08h37m40.245676s,"24d54'23.121600""",3.7cm,X,0.52,"A,B,C,D",True,True,True,True,P,P,P,P
0839+033,08h39m49.195829s,"03d19'53.858020""",3.7cm,X,0.53,"A,B,C,D",True,True,True,True,P,P,P,P
0841+708,08h41m24.365281s,"70d53'42.173090""",20cm,L,4.0,"C,D",False,False,True,True,X,X,P,P
0841+708,08h41m24.365281s,"70d53'42.173090""",6cm,C,2.6,"A,B,C",True,True,True,False,P,P,P,S
0842+185,08h42m05.094180s,"18d35'40.990610""",20cm,L,1.4,"A,B,C,D",True,True,True,True,P,P,P,P
0842+185,08h42m05.094180s,"18d35'40.990610""",6cm,C,1.0,"A,B,C,D",True,True,True,True,P,P,P,P
0842+185,08h42m05.094180s,"18d35'40.990610""",3.7cm,X,0.81,"A,B,C,D",True,True,True,True,P,P,P,P
0846-261,08h46m00.733855s,"-26d10'54.155700""",20cm,L,1.75,"A,B",True,True,False,False,P,P,S,X
0853-207,08h53m00.2659s,"-20d47'28.094""",20cm,L,2.2,D,False,False,False,True,X,X,X,P
0854+579,08h54m41.996385s,"57d57'29.939280""",6cm,C,0.9,"A,B,C,D",True,True,True,True,P,P,P,P
0854+579,08h54m41.996385s,"57d57'29.939280""",3.7cm,X,0.86,"A,B,C,D",True,True,True,True,P,P,P,P
0854+201,08h54m48.874925s,"20d06'30.640880""",20cm,L,1.1,"A,B,C",True,True,True,False,P,P,P,S
0854+201,08h54m48.874925s,"20d06'30.640880""",6cm,C,2.3,"A,B,C,D",True,True,True,True,P,P,P,P
0854+201,08h54m48.874925s,"20d06'30.640880""",3.7cm,X,2.4,"A,B,C,D",True,True,True,True,P,P,P,P
0854+201,08h54m48.874925s,"20d06'30.640880""",2cm,U,3.0,"A,B,C,D",True,True,True,True,P,P,P,P
0854+201,08h54m48.874925s,"20d06'30.640880""",1.3cm,K,3.05,"A,B,C,D",True,True,True,True,P,P,P,P
0900-281,09h00m40.0390s,"-28d08'20.350""",3.7cm,X,1.78,"A,B,C,D",True,True,True,True,P,P,P,P
0900-281,09h00m40.0390s,"-28d08'20.350""",2cm,U,1.33,"A,B,C,D",True,True,True,True,P,P,P,P
0902-142,09h02m16.830907s,"-14d15'30.875380""",20cm,L,3.0,"A,B,C",True,True,True,False,P,P,P,S
0902-142,09h02m16.830907s,"-14d15'30.875380""",6cm,C,2.1,"A,B,C,D",True,True,True,True,P,P,P,P
0902-142,09h02m16.830907s,"-14d15'30.875380""",3.7cm,X,1.68,"A,B,C,D",True,True,True,True,P,P,P,P
0902-142,09h02m16.830907s,"-14d15'30.875380""",2cm,U,1.6,"A,B,C,D",True,True,True,True,P,P,P,P
0909+013,09h09m10.091597s,"01d21'35.617650""",6cm,C,1.3,"A,B,C,D",True,True,True,True,P,P,P,P
0909+013,09h09m10.091597s,"01d21'35.617650""",3.7cm,X,0.88,"A,B,C,D",True,True,True,True,P,P,P,P
0909+013,09h09m10.091597s,"01d21'35.617650""",2cm,U,1.4,"A,B,C,D",True,True,True,True,P,P,P,P
0920+446,09h20m58.458480s,"44d41'53.985020""",6cm,C,1.0,"A,B,C,D",True,True,True,True,P,P,P,P
0920+446,09h20m58.458480s,"44d41'53.985020""",3.7cm,X,1.18,"A,B,C,D",True,True,True,True,P,P,P,P
0920+446,09h20m58.458480s,"44d41'53.985020""",2cm,U,1.5,"A,B,C,D",True,True,True,True,P,P,P,P
0921-263,09h21m29.353874s,"-26d18'43.386040""",20cm,L,1.1,"A,B",True,True,False,False,P,P,S,S
0921-263,09h21m29.353874s,"-26d18'43.386040""",6cm,C,2.4,"A,B,C,D",True,True,True,True,P,P,P,P
0921-263,09h21m29.353874s,"-26d18'43.386040""",3.7cm,X,2.62,"A,B,C,D",True,True,True,True,P,P,P,P
0921-263,09h21m29.353874s,"-26d18'43.386040""",2cm,U,1.9,"A,B,C,D",True,True,True,True,P,P,P,P
0921+622,09h21m36.231054s,"62d15'52.180350""",20cm,L,1.2,"A,B",True,True,False,False,P,P,X,X
0921+622,09h21m36.231054s,"62d15'52.180350""",6cm,C,1.2,"A,B,C,D",True,True,True,True,P,P,P,P
0921+622,09h21m36.231054s,"62d15'52.180350""",3.7cm,X,1.65,"A,B,C,D",True,True,True,True,P,P,P,P
0921+622,09h21m36.231054s,"62d15'52.180350""",2cm,U,1.2,"A,B,C,D",True,True,True,True,P,P,P,P
0925+003,09h25m07.815028s,"00d19'13.933410""",20cm,L,0.8,"A,B,C",True,True,True,False,P,P,P,S
